MSHS,Họ và Tên,Lớp,Toán,Văn,Anh,Tin học,ĐTB
HS000,Học sinh 0,12C2,4.9,8.3,7.9,9.9,7.78
HS001,Học sinh 1,10A2,8.4,8,5.8,8,7.2
HS002,Học sinh 2,11B2,8.9,9.8,2.1,9.1,6.4
HS003,Học sinh 3,11B1,6.4,6.3,7.3,8.5,7.16
HS004,Học sinh 4,10A1,8.2,5.7,5.8,9.4,6.98
HS005,Học sinh 5,11B2,4.5,6.3,8.9,10,7.72
HS006,Học sinh 6,12C2,5.2,5.8,8.1,7.8,7
HS007,Học sinh 7,12C1,10,9.3,7.4,9.4,8.7
HS008,Học sinh 8,12C2,5.8,7,4,7.8,5.72
HS009,Học sinh 9,11B2,6.9,7.6,4,9.2,6.34
HS010,Học sinh 10,11B2,7.2,8.8,8.8,9.3,8.58
HS011,Học sinh 11,11B2,6.4,8.4,5.2,8.4,6.72
HS012,Học sinh 12,12C2,3.8,5.7,8.6,9.9,7.32
HS013,Học sinh 13,10A3,4.9,8.1,5.1,9.3,6.5
HS014,Học sinh 14,12C1,10,6.1,6.2,8.4,7.38
HS015,Học sinh 15,11B2,6.3,7.3,10,7.5,8.22
HS016,Học sinh 16,11B1,5.6,8,10,8,8.32
HS017,Học sinh 17,11B1,6.3,8.4,8.4,8.9,8.08
HS018,Học sinh 18,10A2,8.8,8.2,7.5,8.8,8.16
HS019,Học sinh 19,11B1,7.9,7.2,5.5,8.1,6.84
HS020,Học sinh 20,10A1,6.9,6,6.2,7,6.46
HS021,Học sinh 21,11B1,3.3,6,7.3,7.3,6.24
HS022,Học sinh 22,12C1,5.2,7.1,7.9,8.3,7.28
HS023,Học sinh 23,12C1,6.6,5.3,5.7,8.4,6.34
HS024,Học sinh 24,10A2,5.1,6.5,7.1,10,7.16
HS025,Học sinh 25,12C1,5.8,7.1,9.9,9.6,8.46
HS026,Học sinh 26,11B2,6.7,7.5,8.5,7.4,7.72
HS027,Học sinh 27,10A3,6,5.5,6.7,9.9,6.96
